split,view,filename,filepath,sharpness,brightness,contrast_std,noise,quality_label,guidance_text,abnormal_flag
train,Aorta,Aorta train (158).jpg,train\Aorta\Aorta train (158).jpg,587.22,58.54,57.2,1.93,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (159).jpg,train\Aorta\Aorta train (159).jpg,588.4,58.13,57.54,1.95,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (16).jpg,train\Aorta\Aorta train (16).jpg,373.63,41.87,44.62,1.29,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (160).jpg,train\Aorta\Aorta train (160).jpg,588.67,57.99,57.49,1.95,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (161).jpg,train\Aorta\Aorta train (161).jpg,590.17,56.04,56.71,1.93,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (162).jpg,train\Aorta\Aorta train (162).jpg,912.7,49.88,48.19,2.02,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (163).jpg,train\Aorta\Aorta train (163).jpg,893.42,51.52,50.36,2.01,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (164).jpg,train\Aorta\Aorta train (164).jpg,581.44,59.28,59.53,1.87,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (165).jpg,train\Aorta\Aorta train (165).jpg,584.08,59.21,59.58,1.88,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (166).jpg,train\Aorta\Aorta train (166).jpg,547.19,64.53,66.2,2.09,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (167).jpg,train\Aorta\Aorta train (167).jpg,953.9,40.41,46.08,1.81,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (168).jpg,train\Aorta\Aorta train (168).jpg,955.29,39.12,44.28,1.8,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (169).jpg,train\Aorta\Aorta train (169).jpg,954.49,32.88,42.54,1.97,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (17).jpg,train\Aorta\Aorta train (17).jpg,373.11,41.39,44.27,1.27,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (170).jpg,train\Aorta\Aorta train (170).jpg,393.69,65.56,55.01,1.45,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (171).jpg,train\Aorta\Aorta train (171).jpg,541.68,59.42,51.13,1.75,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (172).jpg,train\Aorta\Aorta train (172).jpg,541.15,59.14,51.01,1.75,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (173).jpg,train\Aorta\Aorta train (173).jpg,524.67,58.04,53.06,1.67,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (174).jpg,train\Aorta\Aorta train (174).jpg,524.79,57.91,52.89,1.67,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (175).jpg,train\Aorta\Aorta train (175).jpg,524.57,57.75,52.71,1.67,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (176).jpg,train\Aorta\Aorta train (176).jpg,525.14,57.56,52.61,1.67,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (177).jpg,train\Aorta\Aorta train (177).jpg,562.55,45.27,43.76,1.77,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (178).jpg,train\Aorta\Aorta train (178).jpg,561.1,45.42,43.75,1.77,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (179).jpg,train\Aorta\Aorta train (179).jpg,561.3,45.55,43.81,1.77,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (18).jpg,train\Aorta\Aorta train (18).jpg,375.59,40.64,45.24,1.25,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (180).jpg,train\Aorta\Aorta train (180).jpg,559.54,45.62,43.87,1.77,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (181).jpg,train\Aorta\Aorta train (181).jpg,559.51,45.78,43.72,1.77,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (182).jpg,train\Aorta\Aorta train (182).jpg,548.54,59.77,52.72,1.9,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (183).jpg,train\Aorta\Aorta train (183).jpg,548.01,59.77,52.7,1.89,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (184).jpg,train\Aorta\Aorta train (184).jpg,389.12,42.32,50.81,1.35,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (185).jpg,train\Aorta\Aorta train (185).jpg,389.15,42.06,50.41,1.35,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (186).jpg,train\Aorta\Aorta train (186).jpg,389.89,41.65,49.84,1.34,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (187).jpg,train\Aorta\Aorta train (187).jpg,473.31,64.43,61.68,1.48,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (188).jpg,train\Aorta\Aorta train (188).jpg,473.76,64.3,61.69,1.48,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (189).jpg,train\Aorta\Aorta train (189).jpg,576.82,68.2,51.47,1.7,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (19).jpg,train\Aorta\Aorta train (19).jpg,375.74,40.4,44.99,1.25,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (190).jpg,train\Aorta\Aorta train (190).jpg,580.71,68.42,51.61,1.7,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (191).jpg,train\Aorta\Aorta train (191).jpg,583.6,69.06,51.88,1.71,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (192).jpg,train\Aorta\Aorta train (192).jpg,588.1,69.29,51.95,1.72,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (193).jpg,train\Aorta\Aorta train (193).jpg,573.28,67.54,52.01,1.74,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (194).jpg,train\Aorta\Aorta train (194).jpg,575.31,67.38,51.82,1.75,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (195).jpg,train\Aorta\Aorta train (195).jpg,576.05,67.06,51.67,1.75,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (196).jpg,train\Aorta\Aorta train (196).jpg,443.12,73.94,57.41,1.42,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (197).jpg,train\Aorta\Aorta train (197).jpg,442.64,74.46,57.38,1.41,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (198).jpg,train\Aorta\Aorta train (198).jpg,440.86,74.71,57.06,1.39,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (199).jpg,train\Aorta\Aorta train (199).jpg,443.13,74.91,56.99,1.39,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (2).jpg,train\Aorta\Aorta train (2).jpg,870.01,38.43,44.66,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (20).jpg,train\Aorta\Aorta train (20).jpg,375.27,40.1,44.52,1.25,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (200).jpg,train\Aorta\Aorta train (200).jpg,445.23,75.33,57.19,1.4,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (201).jpg,train\Aorta\Aorta train (201).jpg,647.63,60.75,58.64,1.94,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (202).jpg,train\Aorta\Aorta train (202).jpg,512.88,64.64,54.97,1.74,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (203).jpg,train\Aorta\Aorta train (203).jpg,512.96,64.49,54.87,1.74,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (204).jpg,train\Aorta\Aorta train (204).jpg,515.01,67.79,52.94,1.73,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (205).jpg,train\Aorta\Aorta train (205).jpg,517.12,67.86,52.75,1.74,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (206).jpg,train\Aorta\Aorta train (206).jpg,894.59,21.22,34.26,1.73,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (207).jpg,train\Aorta\Aorta train (207).jpg,894.6,21.16,34.07,1.75,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (208).jpg,train\Aorta\Aorta train (208).jpg,895.74,21.07,34.1,1.74,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (209).jpg,train\Aorta\Aorta train (209).jpg,896.31,21.15,34.08,1.74,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (21).jpg,train\Aorta\Aorta train (21).jpg,375.52,39.69,44.13,1.26,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (210).jpg,train\Aorta\Aorta train (210).jpg,894.59,21.2,34.04,1.74,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (211).jpg,train\Aorta\Aorta train (211).jpg,896.5,21.08,33.82,1.73,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (212).jpg,train\Aorta\Aorta train (212).jpg,437.68,52.96,55.31,1.48,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (213).jpg,train\Aorta\Aorta train (213).jpg,438.93,52.97,55.42,1.48,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (214).jpg,train\Aorta\Aorta train (214).jpg,438.22,53.85,55.23,1.41,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (215).jpg,train\Aorta\Aorta train (215).jpg,431.73,55.11,54.18,1.4,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (216).jpg,train\Aorta\Aorta train (216).jpg,450.33,52.94,57.06,1.51,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (217).jpg,train\Aorta\Aorta train (217).jpg,447.77,52.57,56.89,1.5,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (218).jpg,train\Aorta\Aorta train (218).jpg,570.09,52.02,53.58,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (219).jpg,train\Aorta\Aorta train (219).jpg,580.48,51.84,53.45,1.84,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (22).jpg,train\Aorta\Aorta train (22).jpg,375.7,39.36,43.8,1.26,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (220).jpg,train\Aorta\Aorta train (220).jpg,584.1,52.52,54.07,1.86,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (221).jpg,train\Aorta\Aorta train (221).jpg,577.25,52.93,53.92,1.85,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (222).jpg,train\Aorta\Aorta train (222).jpg,577.1,52.96,53.96,1.85,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (223).jpg,train\Aorta\Aorta train (223).jpg,577.64,52.98,54.0,1.85,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (224).jpg,train\Aorta\Aorta train (224).jpg,578.53,53.04,54.0,1.85,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (225).jpg,train\Aorta\Aorta train (225).jpg,578.14,53.04,53.94,1.85,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (226).jpg,train\Aorta\Aorta train (226).jpg,569.11,52.7,51.98,1.78,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (227).jpg,train\Aorta\Aorta train (227).jpg,564.5,52.67,52.03,1.77,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (228).jpg,train\Aorta\Aorta train (228).jpg,567.27,52.62,52.14,1.77,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (229).jpg,train\Aorta\Aorta train (229).jpg,568.18,52.65,52.31,1.78,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (23).jpg,train\Aorta\Aorta train (23).jpg,377.38,50.84,49.88,1.32,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (230).jpg,train\Aorta\Aorta train (230).jpg,568.66,52.72,52.36,1.78,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (231).jpg,train\Aorta\Aorta train (231).jpg,570.31,53.82,53.67,1.82,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (232).jpg,train\Aorta\Aorta train (232).jpg,569.68,53.8,53.64,1.82,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (233).jpg,train\Aorta\Aorta train (233).jpg,569.95,53.79,53.58,1.82,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (234).jpg,train\Aorta\Aorta train (234).jpg,570.45,53.8,53.61,1.82,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (235).jpg,train\Aorta\Aorta train (235).jpg,570.97,53.84,53.63,1.82,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (236).jpg,train\Aorta\Aorta train (236).jpg,571.01,53.81,53.62,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (237).jpg,train\Aorta\Aorta train (237).jpg,570.99,53.83,53.61,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (238).jpg,train\Aorta\Aorta train (238).jpg,568.19,51.97,53.48,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (239).jpg,train\Aorta\Aorta train (239).jpg,584.42,51.67,53.26,1.85,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (24).jpg,train\Aorta\Aorta train (24).jpg,378.62,51.13,50.12,1.32,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (240).jpg,train\Aorta\Aorta train (240).jpg,564.5,52.67,52.03,1.77,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (241).jpg,train\Aorta\Aorta train (241).jpg,552.96,54.75,49.92,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (242).jpg,train\Aorta\Aorta train (242).jpg,553.48,54.66,50.03,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (243).jpg,train\Aorta\Aorta train (243).jpg,554.22,54.55,50.13,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (244).jpg,train\Aorta\Aorta train (244).jpg,554.31,54.25,49.98,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (245).jpg,train\Aorta\Aorta train (245).jpg,554.28,53.78,49.58,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (246).jpg,train\Aorta\Aorta train (246).jpg,554.68,53.41,49.26,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (247).jpg,train\Aorta\Aorta train (247).jpg,555.28,53.23,49.13,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (248).jpg,train\Aorta\Aorta train (248).jpg,556.32,51.91,48.32,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (249).jpg,train\Aorta\Aorta train (249).jpg,557.37,51.68,47.96,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (25).jpg,train\Aorta\Aorta train (25).jpg,378.83,51.24,50.26,1.32,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (250).jpg,train\Aorta\Aorta train (250).jpg,557.89,51.53,47.7,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (251).jpg,train\Aorta\Aorta train (251).jpg,558.51,51.25,47.41,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (252).jpg,train\Aorta\Aorta train (252).jpg,546.18,54.44,56.03,1.7,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (253).jpg,train\Aorta\Aorta train (253).jpg,546.85,54.56,56.05,1.7,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (254).jpg,train\Aorta\Aorta train (254).jpg,539.08,55.35,56.74,1.69,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (255).jpg,train\Aorta\Aorta train (255).jpg,538.86,55.19,56.59,1.69,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (256).jpg,train\Aorta\Aorta train (256).jpg,693.23,61.6,58.13,1.98,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (257).jpg,train\Aorta\Aorta train (257).jpg,693.04,61.36,57.97,1.98,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (258).jpg,train\Aorta\Aorta train (258).jpg,691.74,61.14,57.82,1.98,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (259).jpg,train\Aorta\Aorta train (259).jpg,694.49,61.44,58.27,1.99,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (26).jpg,train\Aorta\Aorta train (26).jpg,378.75,51.25,50.16,1.32,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (260).jpg,train\Aorta\Aorta train (260).jpg,695.22,61.26,58.18,1.99,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (261).jpg,train\Aorta\Aorta train (261).jpg,695.19,61.12,58.14,1.99,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (262).jpg,train\Aorta\Aorta train (262).jpg,694.65,60.98,58.03,1.99,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (263).jpg,train\Aorta\Aorta train (263).jpg,695.3,60.77,57.88,2.0,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (264).jpg,train\Aorta\Aorta train (264).jpg,584.57,65.98,65.48,1.96,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (265).jpg,train\Aorta\Aorta train (265).jpg,584.16,65.85,65.38,1.95,good,Image quality is good. Proceed with assessment.,0
